dow,h,count(*)
1,0,722
1,1,768
1,2,670
1,3,814
1,4,703
1,5,569
1,6,587
1,7,673
1,8,515
1,9,309
1,10,374
1,11,253
1,12,130
1,13,145
1,14,80
1,15,208
1,16,256
1,17,457
1,18,451
1,19,424
1,20,569
1,21,571
1,22,628
1,23,1079
2,0,866
2,1,824
2,2,807
2,3,1004
2,4,1046
2,5,921
2,6,942
2,7,582
2,8,413
2,9,521
2,10,448
2,11,163
2,12,127
2,13,190
2,14,350
2,15,393
2,16,386
2,17,485
2,18,437
2,19,604
2,20,636
2,21,692
2,22,573
2,23,500
3,0,699
3,1,909
3,2,975
3,3,1082
3,4,926
3,5,1000
3,6,802
3,7,606
3,8,331
3,9,318
3,10,272
3,11,91
3,12,101
3,13,82
3,14,180
3,15,294
3,16,348
3,17,439
3,18,406
3,19,575
3,20,516
3,21,464
3,22,376
3,23,584
4,0,644
4,1,1214
4,2,985
4,3,721
4,4,911
4,5,923
4,6,779
4,7,459
4,8,462
4,9,287
4,10,175
4,11,325
4,12,331
4,13,255
4,14,338
4,15,429
4,16,337
4,17,365
4,18,366
4,19,674
4,20,587
4,21,662
4,22,815
4,23,854
5,0,1677
5,1,2065
5,2,1678
5,3,1550
5,4,1641
5,5,1480
5,6,1196
5,7,832
5,8,787
5,9,569
5,10,525
5,11,471
5,12,214
5,13,442
5,14,468
5,15,612
5,16,608
5,17,619
5,18,535
5,19,753
5,20,589
5,21,550
5,22,634
5,23,634
6,0,665
6,1,1094
6,2,779
6,3,574
6,4,686
6,5,493
6,6,468
6,7,414
6,8,267
6,9,265
6,10,134
6,11,69
6,12,110
6,13,91
6,14,106
6,15,247
6,16,298
6,17,327
6,18,257
6,19,293
6,20,358
6,21,457
6,22,646
6,23,776
7,0,651
7,1,645
7,2,1088
7,3,949
7,4,832
7,5,729
7,6,657
7,7,501
7,8,488
7,9,196
7,10,135
7,11,16
7,12,127
7,13,273
7,14,185
7,15,291
7,16,331
7,17,271
7,18,313
7,19,312
7,20,264
7,21,514
7,22,465
7,23,592
