dow,h,count(*)
1,0,1315
1,1,1487
1,2,1673
1,3,1600
1,4,1660
1,5,1628
1,6,1482
1,7,1206
1,8,797
1,9,832
1,10,751
1,11,630
1,12,282
1,13,516
1,14,473
1,15,501
1,16,562
1,17,460
1,18,761
1,19,859
1,20,792
1,21,905
1,22,1124
1,23,1334
2,0,585
2,1,679
2,2,1019
2,3,843
2,4,1061
2,5,1065
2,6,876
2,7,487
2,8,399
2,9,384
2,10,356
2,11,299
2,12,186
2,13,206
2,14,171
2,15,324
2,16,319
2,17,369
2,18,239
2,19,303
2,20,539
2,21,444
2,22,511
2,23,677
3,0,820
3,1,1069
3,2,1105
3,3,1225
3,4,1165
3,5,1040
3,6,1004
3,7,696
3,8,533
3,9,484
3,10,352
3,11,237
3,12,360
3,13,448
3,14,583
3,15,485
3,16,405
3,17,481
3,18,396
3,19,561
3,20,758
3,21,1009
3,22,1116
3,23,1018
4,0,1032
4,1,1407
4,2,1302
4,3,1211
4,4,1217
4,5,1075
4,6,839
4,7,653
4,8,488
4,9,556
4,10,439
4,11,365
4,12,286
4,13,307
4,14,320
4,15,313
4,16,555
4,17,677
4,18,695
4,19,814
4,20,610
4,21,933
4,22,841
4,23,705
5,0,933
5,1,1075
5,2,1024
5,3,1159
5,4,1130
5,5,980
5,6,772
5,7,531
5,8,344
5,9,299
5,10,196
5,11,147
5,12,160
5,13,302
5,14,259
5,15,322
5,16,352
5,17,627
5,18,436
5,19,503
5,20,665
5,21,562
5,22,640
5,23,750
6,0,1112
6,1,1268
6,2,1261
6,3,945
6,4,843
6,5,754
6,6,540
6,7,436
6,8,288
6,9,293
6,10,229
6,11,164
6,12,161
6,13,250
6,14,462
6,15,322
6,16,432
6,17,361
6,18,429
6,19,271
6,20,505
6,21,390
6,22,519
6,23,830
7,0,745
7,1,772
7,2,855
7,3,901
7,4,787
7,5,688
7,6,432
7,7,408
7,8,238
7,9,179
7,10,145
7,11,105
7,12,84
7,13,134
7,14,260
7,15,399
7,16,343
7,17,415
7,18,217
7,19,459
7,20,411
7,21,364
7,22,536
7,23,723
